CMDLINE python3 thread/client.py
MEM 31.781250 1729535373.6730
MEM 31.781250 1729535373.7782
MEM 31.781250 1729535373.8827
MEM 31.781250 1729535373.9885
MEM 31.781250 1729535374.0909
MEM 31.781250 1729535374.1950
MEM 31.781250 1729535374.3001
MEM 31.781250 1729535374.4052
MEM 31.781250 1729535374.5104
MEM 31.781250 1729535374.6135
MEM 31.781250 1729535374.7186
MEM 31.781250 1729535374.8237
MEM 31.781250 1729535374.9288
MEM 31.781250 1729535375.0318
MEM 31.781250 1729535375.1369
MEM 31.781250 1729535375.2396
MEM 31.781250 1729535375.3448
MEM 31.781250 1729535375.4499
MEM 31.781250 1729535375.5532
MEM 31.781250 1729535375.6571
MEM 31.796875 1729535375.7578
MEM 31.796875 1729535375.8629
MEM 31.796875 1729535375.9681
MEM 31.796875 1729535376.0688
MEM 31.796875 1729535376.1731
MEM 31.796875 1729535376.2782
MEM 31.796875 1729535376.3816
MEM 31.796875 1729535376.4867
MEM 31.796875 1729535376.5884
MEM 31.796875 1729535376.6935
MEM 31.796875 1729535376.7943
MEM 31.796875 1729535376.8974
MEM 31.796875 1729535377.0000
MEM 31.796875 1729535377.1030
MEM 31.796875 1729535377.2047
MEM 31.796875 1729535377.3099
MEM 31.796875 1729535377.4150
MEM 31.796875 1729535377.5201
MEM 31.796875 1729535377.6252
MEM 31.796875 1729535377.7303
MEM 31.796875 1729535377.8354
MEM 31.796875 1729535377.9362
MEM 31.796875 1729535378.0413
MEM 31.796875 1729535378.1459
MEM 31.796875 1729535378.2489
MEM 31.796875 1729535378.3525
MEM 31.796875 1729535378.4576
MEM 31.796875 1729535378.5627
MEM 31.796875 1729535378.6679
MEM 31.796875 1729535378.7720
MEM 31.796875 1729535378.8771
MEM 31.796875 1729535378.9821
MEM 31.796875 1729535379.0873
MEM 31.796875 1729535379.1904
MEM 31.796875 1729535379.2950
MEM 31.796875 1729535379.4001
MEM 31.796875 1729535379.5030
MEM 31.796875 1729535379.6081
MEM 31.796875 1729535379.7132
MEM 31.796875 1729535379.8165
MEM 31.796875 1729535379.9216
MEM 31.796875 1729535380.0267
MEM 31.796875 1729535380.1319
MEM 31.796875 1729535380.2370
MEM 31.796875 1729535380.3421
MEM 31.796875 1729535380.4442
MEM 31.796875 1729535380.5493
MEM 31.796875 1729535380.6544
MEM 31.796875 1729535380.7595
MEM 31.796875 1729535380.8610
MEM 31.796875 1729535380.9661
MEM 31.796875 1729535381.0713
MEM 31.796875 1729535381.1764
MEM 31.796875 1729535381.2815
MEM 31.796875 1729535381.3860
MEM 31.796875 1729535381.4911
MEM 31.796875 1729535381.5937
MEM 31.796875 1729535381.6988
MEM 31.796875 1729535381.7998
MEM 31.796875 1729535381.9049
MEM 31.796875 1729535382.0094
MEM 31.796875 1729535382.1146
MEM 31.796875 1729535382.2198
MEM 31.796875 1729535382.3249
MEM 31.812500 1729535382.4269
MEM 31.812500 1729535382.5320
MEM 31.812500 1729535382.6344
MEM 31.812500 1729535382.7395
MEM 31.812500 1729535382.8446
MEM 31.812500 1729535382.9497
MEM 31.812500 1729535383.0534
MEM 31.812500 1729535383.1544
MEM 31.812500 1729535383.2595
MEM 31.812500 1729535383.3647
MEM 31.812500 1729535383.4698
MEM 31.812500 1729535383.5750
MEM 31.812500 1729535383.6778
MEM 31.812500 1729535383.7813
MEM 31.812500 1729535383.8864
MEM 31.812500 1729535383.9878
MEM 31.843750 1729535384.0922
MEM 31.843750 1729535384.1975
MEM 31.843750 1729535384.3003
MEM 31.843750 1729535384.4040
MEM 31.843750 1729535384.5091
MEM 31.843750 1729535384.6143
MEM 27.453125 1729535384.7191
MEM 27.156250 1729535384.8242
MEM 27.156250 1729535384.9293
MEM 27.156250 1729535385.0315
MEM 27.156250 1729535385.1366
MEM 27.156250 1729535385.2411
MEM 27.187500 1729535385.3464
MEM 27.187500 1729535385.4496
MEM 27.187500 1729535385.5540
MEM 27.187500 1729535385.6578
MEM 27.296875 1729535385.7629
MEM 27.328125 1729535385.8679
MEM 27.328125 1729535385.9687
MEM 27.343750 1729535386.0694
MEM 27.359375 1729535386.1744
MEM 27.359375 1729535386.2795
MEM 27.375000 1729535386.3805
MEM 27.375000 1729535386.4828
MEM 27.375000 1729535386.5872
MEM 27.375000 1729535386.6923
MEM 27.375000 1729535386.7955
MEM 27.375000 1729535386.9005
MEM 27.375000 1729535387.0057
MEM 27.375000 1729535387.1103
MEM 27.375000 1729535387.2154
MEM 27.375000 1729535387.3178
MEM 27.375000 1729535387.4229
MEM 27.375000 1729535387.5248
MEM 27.390625 1729535387.6292
MEM 27.390625 1729535387.7343
MEM 27.125000 1729535387.8390
MEM 27.125000 1729535387.9439
MEM 27.125000 1729535388.0491
MEM 27.125000 1729535388.1542
MEM 27.125000 1729535388.2594
MEM 27.125000 1729535388.3645
MEM 27.125000 1729535388.4696
MEM 27.140625 1729535388.5748
MEM 27.140625 1729535388.6799
MEM 27.140625 1729535388.7850
MEM 27.140625 1729535388.8893
MEM 27.140625 1729535388.9940
MEM 27.140625 1729535389.0992
MEM 27.140625 1729535389.2003
MEM 27.140625 1729535389.3054
MEM 27.140625 1729535389.4105
MEM 27.140625 1729535389.5138
MEM 27.140625 1729535389.6189
MEM 27.140625 1729535389.7240
MEM 27.140625 1729535389.8265
MEM 27.234375 1729535389.9316
MEM 27.234375 1729535390.0368
MEM 27.234375 1729535390.1408
MEM 27.234375 1729535390.2459
MEM 27.234375 1729535390.3498
MEM 27.234375 1729535390.4549
MEM 27.234375 1729535390.5577
MEM 27.234375 1729535390.6618
MEM 27.234375 1729535390.7670
MEM 27.234375 1729535390.8720
MEM 27.234375 1729535390.9751
MEM 27.234375 1729535391.0802
MEM 27.234375 1729535391.1853
MEM 27.234375 1729535391.2877
MEM 27.234375 1729535391.3928
MEM 27.234375 1729535391.4980
