CMDLINE python3 async/client.py
MEM 26.812500 1729535065.9026
MEM 26.812500 1729535066.0071
MEM 26.812500 1729535066.1122
MEM 26.812500 1729535066.2174
MEM 26.812500 1729535066.3210
MEM 26.812500 1729535066.4256
MEM 26.812500 1729535066.5283
MEM 26.812500 1729535066.6306
MEM 26.812500 1729535066.7358
MEM 26.812500 1729535066.8404
MEM 26.828125 1729535066.9455
MEM 26.828125 1729535067.0485
MEM 26.828125 1729535067.1495
MEM 26.828125 1729535067.2534
MEM 26.828125 1729535067.3586
MEM 26.828125 1729535067.4637
MEM 26.828125 1729535067.5685
MEM 26.828125 1729535067.6736
MEM 26.828125 1729535067.7787
MEM 26.828125 1729535067.8838
MEM 26.843750 1729535067.9889
MEM 26.843750 1729535068.0941
MEM 26.781250 1729535068.1992
MEM 26.781250 1729535068.3034
MEM 26.781250 1729535068.4086
MEM 26.796875 1729535068.5130
MEM 26.796875 1729535068.6139
MEM 26.796875 1729535068.7150
MEM 26.796875 1729535068.8195
MEM 26.796875 1729535068.9246
MEM 26.796875 1729535069.0298
MEM 26.796875 1729535069.1349
MEM 26.796875 1729535069.2395
MEM 26.796875 1729535069.3447
MEM 26.796875 1729535069.4498
MEM 26.796875 1729535069.5545
MEM 26.812500 1729535069.6596
MEM 26.812500 1729535069.7648
MEM 26.812500 1729535069.8699
MEM 26.812500 1729535069.9730
MEM 26.812500 1729535070.0755
MEM 26.734375 1729535070.1806
MEM 26.734375 1729535070.2857
MEM 26.734375 1729535070.3892
MEM 26.734375 1729535070.4906
MEM 26.734375 1729535070.5957
MEM 26.734375 1729535070.7008
MEM 26.734375 1729535070.8026
MEM 26.750000 1729535070.9077
MEM 26.750000 1729535071.0080
MEM 26.750000 1729535071.1131
MEM 26.750000 1729535071.2182
MEM 26.750000 1729535071.3233
MEM 26.750000 1729535071.4249
MEM 26.750000 1729535071.5295
MEM 26.750000 1729535071.6326
MEM 26.750000 1729535071.7368
MEM 26.750000 1729535071.8420
MEM 26.750000 1729535071.9431
MEM 26.750000 1729535072.0482
MEM 26.750000 1729535072.1534
MEM 26.734375 1729535072.2585
MEM 26.734375 1729535072.3636
MEM 26.734375 1729535072.4687
MEM 26.734375 1729535072.5738
MEM 26.734375 1729535072.6790
MEM 26.734375 1729535072.7841
MEM 26.734375 1729535072.8884
MEM 26.734375 1729535072.9927
MEM 26.734375 1729535073.0978
MEM 26.734375 1729535073.2012
MEM 26.734375 1729535073.3062
MEM 26.734375 1729535073.4113
MEM 26.734375 1729535073.5117
MEM 26.734375 1729535073.6168
MEM 26.734375 1729535073.7217
MEM 26.750000 1729535073.8268
MEM 26.750000 1729535073.9273
MEM 26.750000 1729535074.0325
MEM 26.750000 1729535074.1371
MEM 26.750000 1729535074.2401
MEM 26.750000 1729535074.3438
MEM 26.750000 1729535074.4471
MEM 26.750000 1729535074.5512
MEM 26.750000 1729535074.6514
MEM 26.750000 1729535074.7565
MEM 26.750000 1729535074.8616
MEM 26.750000 1729535074.9667
MEM 26.750000 1729535075.0718
MEM 26.750000 1729535075.1769
MEM 26.750000 1729535075.2820
MEM 26.750000 1729535075.3858
MEM 26.750000 1729535075.4910
MEM 26.750000 1729535075.5931
MEM 26.750000 1729535075.6982
MEM 26.750000 1729535075.8007
